DATE,ASPUS,AUTHNOTTSA,CSUSHPISA,EVACANTUSQ176N,INTDSRUSM193N,LREM25TTUSM156S,MNMFS,MORTGAGE30US,MSACSR,NHSDPTS,PERMIT,TTLCONS,UMCSENT
2003-01-01,0.0,0.4042232276826846,0.0,0.19616042577456794,0.3333333333333333,0.8092210082701934,0.2738853502630938,0.7889684873904639,0.1037344397968355,0.6831617402961422,0.7502465969077278,0.08131410565156327,0.5571984437009492
2003-04-01,0.024726134585289494,0.44343891410270064,0.014010786680838216,0.26002661091047363,0.3194444444999999,0.8028451920896407,0.2770700636060286,0.7034524495775398,0.05809128622647686,0.7990700760611402,0.7687906888430992,0.09065211808069384,0.7743190662859396
2003-07-01,0.04694835680751175,0.4449472095776089,0.03275321050617319,0.33035544573275066,0.29166666666666663,0.7746861149362081,0.23566878976571062,0.8384259193549819,0.0331950206652778,0.872799733979648,0.8277766817539071,0.11831902166078534,0.7750972763249102
2003-10-01,0.07167449139280124,0.4494720964548228,0.05474276159404312,0.3379585630108348,0.29166666666666663,0.7813608518842186,0.2006369426112621,0.8090808009478212,0.07468879668359707,0.8266356692186438,0.8484908265601382,0.1454079361606797,0.8373540857460977
2004-01-01,0.09327073552425669,0.42835595754366207,0.08042824485616296,0.3837673446112908,0.29166666666666663,0.7924715897572723,0.24203821645158022,0.7266540934468484,0.04149377589383796,0.9043507140516656,0.8617084241167646,0.15598332171190943,0.9782101168076429
2004-04-01,0.10078247261345852,0.46606334848876974,0.10868189265826411,0.4187416840904774,0.30555555549999996,0.8092591300363425,0.22611464964136477,0.8569478260750374,0.06639004145503691,0.9066755227530165,0.9122114817327743,0.18081955341147427,0.869260700378931
2004-07-01,0.12801251956181536,0.5429864254014045,0.13462054824644432,0.3383387188747391,0.37499999999999994,0.820731690720355,0.1974522292683273,0.8026769501928919,0.11618257257743492,0.8635004981778978,0.906095877272974,0.21111151480540125,0.9221789883986129
2004-10-01,0.166510172143975,0.6018099548051842,0.16234675408618093,0.2822657289488695,0.4583333333333333,0.8188511710901052,0.21656050951701897,0.7621708349020855,0.09128630701623586,0.9461972766540621,0.915762477985271,0.2236789492349951,0.881712062403246
2005-01-01,0.17339593114241003,0.5867269982461456,0.19655762324757087,0.3558258886143322,0.5416666666666666,0.8237039666215571,0.2547770700144022,0.7704465804142544,0.11203319502539555,0.9873796077719239,0.9270072994515107,0.25444509904783386,0.8863813231039988
2005-04-01,0.17120500782472614,0.6349924584205893,0.230308179664243,0.4153202813153394,0.625,0.8484197791159493,0.22611464964136477,0.7550773386024243,0.11203319502539555,0.977416140485639,0.9463405014679375,0.28155046266966033,0.7961089494782967
2005-07-01,0.19248826291079812,0.6651583710861777,0.2604165069355471,0.3814864094278656,0.7083333333333334,0.8676804360342709,0.1942675158298511,0.7692643312017469,0.1369294605865946,1.0000000000000002,1.0,0.314577237074393,0.7330739300181381
2005-10-01,0.1912363067292645,0.689291100947155,0.28895209664621535,0.3700817335107396,0.7916666666666666,0.8530920515261409,0.21974522285995376,0.8876863096986976,0.17842323648043246,0.9671205579552602,0.9650818701837819,0.3488640731127475,0.6147859921879211
2006-01-01,0.22597809076682318,0.65610859733175,0.3107287528235345,0.4482037635430527,0.8888888888333333,0.870881982473299,0.23248407632723442,0.8930064319234434,0.29875518673438817,0.8216539355755015,0.9577826003064828,0.37406303665326235,0.7665369649623766
2006-04-01,0.21752738654147108,0.6681749620359942,0.314604974189697,0.501235506557689,0.9583333333333334,0.8830595704971396,0.1942675158298511,0.9840396333257622,0.3609958506373857,0.7990700760611402,0.8194910238314145,0.3569204698776126,0.6466926070542174
2006-07-01,0.23474178403755874,0.6184012063866423,0.30783261446758337,0.5498954571374264,0.9999999999999999,0.9026222297183404,0.1719745222382247,0.9732023475116216,0.43983402487302226,0.7103952172132053,0.6952061549940279,0.32673939875710756,0.652140077793941
2006-10-01,0.2081377151799687,0.5686274507372904,0.3125968573307185,0.5736551986314393,0.9999999999999999,0.940651169048869,0.22292993620288856,0.8922182656963871,0.4273858920924226,0.6858186649390297,0.6168869600667934,0.3098600181025336,0.8490272374979786
2007-01-01,0.27856025039123644,0.583710407296329,0.31704271700590825,0.7314198821516826,0.9999999999999999,0.9250168221449,0.3312101910091688,0.8847306864112747,0.5352697095657789,0.5562935902173267,0.6320773331219738,0.3221980149625435,0.8428015564858211
2007-04-01,0.24100156494522695,0.5625942683851681,0.30093366858243975,0.6977760881961608,0.9999999999999999,0.915530958002436,0.38535031831676736,0.9215774582305831,0.5518672198984177,0.5463301229310419,0.5433024268095547,0.33697644235990176,0.7190661479158806
2007-07-01,0.2131455399061033,0.5098039213335107,0.2816043452739647,0.793195210036115,0.9166666666666666,0.9004279979506036,0.3949044584411132,0.9710348904512551,0.6887966804850124,0.4271006310386217,0.45906490420299306,0.3362455895960387,0.6918287937503367
2007-10-01,0.22754303599374026,0.4811463045953195,0.2649697726685014,0.7667743774947731,0.7777777778333334,0.9001986833140156,0.4140127386898048,0.8872922267132464,0.7219917012747713,0.36864828959253915,0.384493982900561,0.3156657167704946,0.4996108949805145
2008-01-01,0.1793427230046949,0.4374057312980897,0.24312790562929731,0.9059114236837105,0.48611111116666655,0.887057187782962,0.5127388533717392,0.79704719128183,0.8049792530624474,0.29159747594514795,0.28782797400209326,0.2903967028218223,0.3922178988632077
2008-04-01,0.22253521126760567,0.368024132664974,0.21491261688694407,0.9171260216688846,0.3333333333333333,0.8612304597190183,0.6146496813010669,0.8520217870918967,0.8962655605766084,0.21587512456938318,0.3091339515170739,0.2851375118576075,0.08171206226316818
